step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
496,TRANSFER,766151.45,C2014325113,766151.45,0.0,C432435900,0.0,0.0,1,0
365,TRANSFER,31315.51,C1174332140,31315.51,0.0,C1252332991,0.0,0.0,1,0
302,PAYMENT,19043.02,C562601456,70067.0,51023.98,M1194092449,0.0,0.0,0,0
383,PAYMENT,11162.03,C1407068513,102921.0,91758.97,M175386067,0.0,0.0,0,0
354,CASH_OUT,268851.8,C626747845,220431.0,0.0,C833477591,1641753.59,1910605.4,0,0
216,PAYMENT,10765.98,C460572738,52379.0,41613.02,M199482804,0.0,0.0,0,0
106,CASH_OUT,1409248.64,C1173095546,1409248.64,0.0,C1935607545,914125.46,2323374.1,1,0
203,CASH_OUT,471253.81,C216560481,12208.0,0.0,C2044512048,633004.7,1104258.51,0,0
468,CASH_OUT,155926.42,C19001916,155926.42,0.0,C654239643,369481.23,525407.65,1,0
721,TRANSFER,23639.56,C594313973,23639.56,0.0,C1343815682,0.0,0.0,1,0
18,PAYMENT,7636.65,C386758803,0.0,0.0,M1355866362,0.0,0.0,0,0
296,TRANSFER,282272.93,C922219750,282272.93,0.0,C1107412386,0.0,0.0,1,0
56,CASH_OUT,530733.43,C1486070505,530733.43,0.0,C1428831661,233066.99,763800.42,1,0
131,CASH_IN,30959.19,C1055593260,33113.0,64072.19,C2113091421,149593.05,118633.85,0,0
188,PAYMENT,5922.57,C459414778,10283.0,4360.43,M1079341601,0.0,0.0,0,0
511,CASH_OUT,2491.85,C1646554602,2491.85,0.0,C120002331,292572.02,295063.87,1,0
379,CASH_OUT,7622.01,C1064348677,4829.0,0.0,C1023560928,448988.2,901763.84,0,0
723,CASH_OUT,128893.5,C1064690652,128893.5,0.0,C810812783,209908.87,338802.36,1,0
86,CASH_OUT,21829.31,C1952555964,21829.31,0.0,C1702948277,357009.54,378838.85,1,0
460,CASH_OUT,217666.25,C1488044664,217666.25,0.0,C60471121,92402.62,310068.87,1,0
480,TRANSFER,146743.13,C159173164,146743.13,0.0,C1585124596,0.0,0.0,1,0
119,TRANSFER,224913.14,C877672852,224913.14,0.0,C409358964,0.0,0.0,1,0
12,PAYMENT,17455.94,C1053203516,11155.0,0.0,M699926009,0.0,0.0,0,0
1,CASH_OUT,181.0,C840083671,181.0,0.0,C38997010,21182.0,0.0,1,0
336,TRANSFER,964388.1,C1529791682,964388.1,0.0,C215273988,0.0,0.0,1,0
353,CASH_OUT,82201.76,C1611802865,11368.0,0.0,C1290969793,0.0,82201.76,0,0
15,PAYMENT,18290.61,C1923679612,0.0,0.0,M1836022419,0.0,0.0,0,0
253,TRANSFER,518549.9,C1494055979,0.0,0.0,C1762777508,557626.36,1076176.25,0,0
377,TRANSFER,1209444.33,C1697464211,0.0,0.0,C184267404,2721823.51,3931267.84,0,0
407,PAYMENT,14545.46,C1478119044,22124.0,7578.54,M1401813860,0.0,0.0,0,0
208,CASH_OUT,213600.63,C1896759768,0.0,0.0,C415731507,1422719.66,1636320.3,0,0
321,PAYMENT,24531.09,C2058642437,0.0,0.0,M684913666,0.0,0.0,0,0
334,PAYMENT,12826.73,C101176399,5702.0,0.0,M2106352784,0.0,0.0,0,0
743,CASH_OUT,339682.13,C786484425,339682.13,0.0,C776919290,0.0,339682.13,1,0
305,PAYMENT,7166.88,C282678300,0.0,0.0,M1187155534,0.0,0.0,0,0
266,TRANSFER,5494862.93,C988536152,5494862.93,0.0,C2025332798,0.0,0.0,1,0
56,CASH_OUT,1932200.59,C1900295340,1932200.59,0.0,C2032646914,0.0,1932200.59,1,0
595,CASH_OUT,816452.19,C228196194,816452.19,0.0,C253339392,1218091.0,2034543.19,1,0
165,CASH_IN,63232.52,C172868254,157.0,63389.52,C422522705,0.0,0.0,0,0
416,TRANSFER,27276.07,C746928702,27276.07,0.0,C1644712820,0.0,0.0,1,0
31,CASH_OUT,120406.39,C1938001564,120406.39,0.0,C878440089,0.0,120406.39,1,0
463,CASH_OUT,1968008.53,C1471437030,1968008.53,0.0,C765536045,615855.0,2583863.54,1,0
316,TRANSFER,72665.95,C1614200747,72665.95,0.0,C253218862,0.0,0.0,1,0
335,CASH_OUT,723915.85,C574146734,723915.85,0.0,C1608490810,156579.28,880495.13,1,0
139,CASH_IN,93454.21,C73296501,74582.95,168037.15,C697713040,470759.75,377305.55,0,0
329,CASH_OUT,3551022.86,C1267379776,3551022.86,0.0,C355648963,196995.31,3748018.17,1,0
502,TRANSFER,73051.02,C538641339,73051.02,0.0,C1444289566,0.0,0.0,1,0
517,CASH_OUT,19262.14,C203911938,10568.0,0.0,C1359875498,1662693.68,1681955.81,0,0
331,CASH_OUT,105352.34,C1049742720,405915.0,300562.66,C1084505814,464346.46,569698.8,0,0
13,TRANSFER,408.0,C2021466585,408.0,0.0,C1864486913,0.0,226013.18,1,0
356,PAYMENT,31613.13,C490100965,0.0,0.0,M859354507,0.0,0.0,0,0
332,PAYMENT,7419.61,C2009251127,25329.0,17909.39,M911681856,0.0,0.0,0,0
160,CASH_IN,45103.65,C284889185,11220667.98,11265771.62,C1473756036,64694.79,19591.15,0,0
353,PAYMENT,4366.02,C210195067,65430.0,61063.98,M1836947062,0.0,0.0,0,0
674,CASH_OUT,3288377.47,C1509113687,3288377.47,0.0,C579531437,158090.12,3446467.59,1,0
161,TRANSFER,8720558.46,C582011779,8720558.46,0.0,C1801176562,0.0,0.0,1,0
163,CASH_IN,184868.31,C905291576,52023.0,236891.31,C360625359,1143308.94,958440.62,0,0
166,CASH_OUT,1803411.53,C1537775807,1803411.53,0.0,C1897800945,475748.31,2279159.85,1,0
153,CASH_OUT,341025.2,C375295344,49909.0,0.0,C711850930,4429821.59,4770846.79,0,0
649,CASH_OUT,963966.56,C164247053,963966.56,0.0,C5335612,0.0,963966.56,1,0
240,CASH_OUT,103949.5,C259198981,103949.5,0.0,C837253504,0.0,103949.5,1,0
566,TRANSFER,2202575.1,C1229686156,2202575.1,0.0,C1752604611,0.0,0.0,1,0
548,CASH_IN,89881.18,C469034262,8673036.79,8762917.98,C567320787,925301.6,835420.42,0,0
203,PAYMENT,9637.2,C342895615,30967.0,21329.8,M359127243,0.0,0.0,0,0
730,TRANSFER,338364.14,C1396691078,338364.14,0.0,C476657096,0.0,0.0,1,0
348,PAYMENT,17617.3,C1385624444,95715.94,78098.64,M343203988,0.0,0.0,0,0
260,CASH_OUT,165442.29,C391160178,9771.0,0.0,C2071663224,101939.93,267382.22,0,0
153,TRANSFER,253654.59,C1518348392,1748.0,0.0,C552090749,1088726.13,1342380.72,0,0
140,CASH_OUT,6783.47,C87316274,6783.47,0.0,C1051603827,88745.55,95529.02,1,0
234,PAYMENT,17421.25,C1658019186,55207.72,37786.47,M1999809840,0.0,0.0,0,0
48,PAYMENT,9554.61,C1363564844,0.0,0.0,M554123216,0.0,0.0,0,0
391,CASH_OUT,47721.95,C528875207,47721.95,0.0,C1681024448,39484.71,87206.65,1,0
306,CASH_OUT,371843.84,C424698506,51174.0,0.0,C293122618,2481489.2,2853333.03,0,0
625,TRANSFER,2571605.04,C991826252,2571605.04,0.0,C2045424554,0.0,0.0,1,0
303,TRANSFER,447009.83,C256552805,447009.83,0.0,C312822815,0.0,0.0,1,0
719,CASH_OUT,67299.57,C163185950,67299.57,0.0,C1545339694,303173.2,370472.77,1,0
51,CASH_OUT,567932.31,C1373739020,567932.31,0.0,C1576761892,0.0,567932.31,1,0
15,CASH_OUT,205266.2,C99376351,3686.0,0.0,C208630649,11232157.78,11437423.98,0,0
355,PAYMENT,1716.05,C913764937,5769.17,4053.13,M1387429131,0.0,0.0,0,0
253,CASH_OUT,168622.3,C294300042,168622.3,0.0,C1850704979,941451.87,1110074.16,1,0
156,TRANSFER,1111294.44,C676646060,0.0,0.0,C1546112622,4314985.13,5781492.81,0,0
307,TRANSFER,2343696.85,C692748109,2343696.85,0.0,C145912882,0.0,0.0,1,0
326,TRANSFER,933872.84,C1485768784,0.0,0.0,C699011744,4426503.99,5360376.84,0,0
567,CASH_OUT,3596.83,C828281311,3596.83,0.0,C1509838482,695666.18,699263.0,1,0
444,TRANSFER,10000000.0,C838062695,13752520.6,3752520.6,C1614528665,0.0,0.0,1,0
741,CASH_OUT,323726.61,C919525792,323726.61,0.0,C993635374,561753.58,885480.19,1,0
617,CASH_OUT,1398166.84,C338262259,1398166.84,0.0,C558846128,66095.91,1464262.75,1,0
327,CASH_OUT,62022.59,C1871429610,0.0,0.0,C1974555164,468795.17,530817.76,0,0
206,PAYMENT,4453.51,C244525032,0.0,0.0,M1269525812,0.0,0.0,0,0
18,CASH_IN,228684.0,C433043561,86108.0,314792.0,C1937674006,404619.91,175935.91,0,0
322,CASH_OUT,328853.84,C726481893,107071.0,0.0,C392406110,8675851.08,9004704.92,0,0
301,CASH_OUT,133027.88,C1021100132,27144.0,0.0,C1134760074,220791.5,353819.38,0,0
286,PAYMENT,11647.22,C1401290817,0.0,0.0,M168113247,0.0,0.0,0,0
301,CASH_OUT,194759.1,C674539023,0.0,0.0,C186658199,3018761.58,3213520.68,0,0
242,CASH_OUT,3139423.35,C1627766514,3139423.35,0.0,C1840253816,2593641.94,5733065.29,1,0
315,TRANSFER,76640.82,C1716897320,76640.82,0.0,C233158023,0.0,0.0,1,0
